day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Friday,9:29,9h-11h,text+photo,Identite,53,10,3,66,Engagement intermédiaire
Monday,12:49,11h-14h,text+photo,Identite,278,14,3,295,Engagement très fort
Friday,13:36,11h-14h,video,Identite,28,5,3,36,Engagement intermédiaire
Thursday,10:37,9h-11h,text+link+photo,Identite,23,5,3,31,Engagement intermédiaire
Tuesday,10:23,9h-11h,text+link+photo,Education,22,3,3,28,engagement faible
Monday,11:54,11h-14h,text+link+video,Education,31,3,2,36,Engagement intermédiaire
Friday,11:26,11h-14h,text+link,Administration,34,2,2,38,Engagement intermédiaire
Friday,16:26,14h-17h,text+link,Information,43,1,2,46,Engagement intermédiaire
Friday,13:41,11h-14h,text+link+photo,Administration,53,8,2,63,Engagement intermédiaire
Thursday,10:54,9h-11h,text+video,Identite,35,6,2,43,Engagement intermédiaire
Monday,9:35,9h-11h,text+link,Identite,25,1,2,28,engagement faible
Monday,15:43,14h-17h,text+link,Relation,151,13,2,166,Engagement fort
Wednesday,10:34,9h-11h,text+photo,Identite,39,8,2,49,Engagement intermédiaire
Wednesday,3:44,Avant 9h,text+link+photo,Administration,12,0,2,14,engagement faible
Monday,10:03,9h-11h,text+link,Identite,37,0,2,39,Engagement intermédiaire
Thursday,8:26,Avant 9h,text+photo,Identite,100,14,2,116,Engagement fort
Friday,13:21,11h-14h,text+link,Administration,26,3,2,31,Engagement intermédiaire
Wednesday,13:55,11h-14h,text+link+photo,Relation,71,3,2,76,Engagement intermédiaire
Tuesday,18:38,17h-19h,text+link,Identite,27,2,2,31,Engagement intermédiaire
Friday,10:46,9h-11h,text+link,Administration,27,1,2,30,engagement faible
Tuesday,20:58,Après 19h,text+link,Administration,42,2,2,46,Engagement intermédiaire
Wednesday,18:27,17h-19h,text+link,Identite,13,1,2,16,engagement faible
Wednesday,17:30,17h-19h,text+link+photo,Identite,23,0,2,25,engagement faible
Sunday,16:00,14h-17h,text+link,Identite,26,3,2,31,Engagement intermédiaire
Thursday,17:06,17h-19h,text+video,Identite,46,4,1,51,Engagement intermédiaire
Friday,15:39,14h-17h,text+link+photo,Identite,86,5,1,92,Engagement fort
Tuesday,13:25,11h-14h,text+link+photo,Identite,68,2,1,71,Engagement intermédiaire
Saturday,11:39,11h-14h,text+video,Identite,18,1,1,20,engagement faible
Tuesday,3:20,Avant 9h,text+link+photo,Identite,86,3,1,90,Engagement fort
Monday,16:17,14h-17h,text+link+photo,Identite,71,1,1,73,Engagement intermédiaire
Wednesday,13:22,11h-14h,text+link+photo,Identite,46,4,1,51,Engagement intermédiaire
Wednesday,11:51,11h-14h,text+video,Identite,42,5,1,48,Engagement intermédiaire
Thursday,5:18,Avant 9h,text+video,Recherche,20,3,1,24,engagement faible
